2021.05.18.09:40,116,2,3,5,6,14,16,18,20,3
2021.05.18.09:35,115,5,7,11,12,15,16,18,19,2
2021.05.18.09:30,114,2,4,6,8,9,14,17,20,1
2021.05.18.09:25,113,1,3,5,6,10,12,14,19,4
2021.05.18.09:20,112,3,4,7,9,10,15,17,18,1
2021.05.18.09:15,111,4,9,13,14,15,16,18,20,1
2021.05.18.09:10,110,2,3,5,7,10,14,15,19,2
2021.05.18.09:05,109,2,3,5,9,11,12,15,18,3
2021.05.18.09:00,108,1,2,3,6,11,13,14,19,1
2021.05.18.08:55,107,3,4,7,8,10,11,14,16,2
2021.05.18.08:50,106,3,9,10,11,13,14,16,20,2
2021.05.18.08:45,105,2,3,4,7,10,14,15,18,3
2021.05.18.08:40,104,1,2,6,8,13,14,16,17,4
2021.05.18.08:35,103,1,3,9,10,15,17,18,20,1
2021.05.18.08:30,102,1,2,3,4,6,15,17,18,4
2021.05.18.08:25,101,1,3,5,6,11,15,16,20,1
2021.05.18.08:20,100,3,4,8,9,10,13,14,19,2
2021.05.18.08:15,99,1,3,4,6,11,14,15,20,3
2021.05.18.08:10,98,1,4,5,7,9,10,16,19,1
2021.05.18.08:05,97,1,3,9,10,13,16,17,18,1
2021.05.18.08:00,96,4,6,7,12,13,16,19,20,1
2021.05.18.07:55,95,2,3,4,5,9,14,18,19,3
2021.05.18.07:50,94,1,2,3,4,5,7,8,9,2
2021.05.18.07:45,93,5,6,7,11,14,15,18,19,2
2021.05.18.07:40,92,1,3,4,10,12,14,18,19,2
2021.05.18.07:35,91,3,7,8,10,13,14,15,16,3
2021.05.18.07:30,90,1,4,8,9,11,12,14,18,2
2021.05.18.07:25,89,3,9,11,12,14,16,19,20,2
2021.05.18.07:20,88,3,6,8,9,11,13,18,19,3
2021.05.18.07:15,87,4,5,8,9,17,18,19,20,4
2021.05.18.07:10,86,1,6,7,11,14,15,19,20,3
2021.05.18.07:05,85,1,4,7,12,13,17,18,19,2
